,Overall Score,,,,,,,Government Support,,,,,,,Financial System Support,,,,,,,Employer Support,,,,,
Saudi Arabia,43.3,30,38.1,34,5.2,4,,51.6,23,41.2,31,9.9,8,,28.4,38,28.1,35,0.5,-3,,72.8,8,69.1,9,3.8,1
Poland,41.3,30,42.1,28,-0.8,-2,,49.3,25,49.4,26,-0.1,1,,31.1,33,30.8,33,0.3,0,,51.4,33,60,15,-8.7,-18
Mexico,40.4,32,37.6,35,2.8,3,,44.1,29,40.7,32,3.2,3,,33,32,31.4,32,1.7,0,,57.1,26,51.4,24,5.7,-2
Turkey,40.1,33,40.9,31,-0.8,-2,,34.4,36,40,33,-5.7,-3,,39.4,25,35.6,28,3.9,3,,68.9,12,69.1,8,-0.2,-4
Kenya,39.7,34,39.8,32,-0.1,-2,,41.7,32,44.3,29,-2.5,-3,,34.8,30,33.7,31,1.1,1,,53.1,31,47.5,29,5.6,-2
Indonesia,38.5,35,41.4,30,-2.9,-5,,40.8,33,51.9,21,-11.1,-12,,30.2,36,26.5,39,3.7,3,,65.8,16,61.2,13,4.7,-3
South Africa,37.9,36,33.1,36,4.8,0,,40.7,34,35.4,35,5.1,1,,30.6,34,30,34,0.7,0,,57.9,24,36.6,36,21.3,12
Italy,35.1,37,32.9,37,2.2,0,,41.9,31,35.1,37,6.7,6,,26,39,27.3,37,-1.1,-2,,45.8,38,48.3,27,-2.5,-11
Colombia,34.3,38,30.2,39,4.1,1,,33.6,37,30,39,3.6,3,,29.7,37,27,38,2.8,1,,57.8,25,45.5,31,12.3,6
Nigeria,28.5,39,29.6,40,-1.1,1,,21.9,41,25.2,41,-3.5,0,,30.6,35,27.8,36,2.8,1,,49,35,57.4,18,-8.5,-17
Peru,27.4,40,31.4,38,-4,-2,,26.8,39,35.3,36,-8.5,-3,,22.5,40,22.5,40,0,0,,53,32,54.2,21,-1.3,-11
Ghana,25.3,41,24.9,41,0.4,0,,24.1,40,23.3,42,0.7,2,,19.8,41,20,41,-0.1,0,,55.6,28,53.7,22,1.9,-6
